numero,tipo,fecha,ponente,numero_causa,tipo_accion,organo_jurisdiccional,fecha_inicio,fecha_resolucion,duracion_dias,decision,derecho_invocado,materia,etapa_prueba_dias,observaciones,resumen,ficha_url
17811-2019-00234,Contencioso Administrativo,15/03/2021,Dr. Carlos Andrade Mora,,,,,,,,,,,,"Proceso contencioso administrativo interpuesto por Maria Rodriguez contra el Municipio de Guayaquil. La actora impugna el acto administrativo de destitucion de su cargo de inspectora municipal. Ingreso la demanda el 10 de enero de 2019. La etapa de prueba se desarrollo entre el 5 de marzo y el 4 de junio de 2019, durando 90 dias. El Tribunal Distrital de lo Contencioso Administrativo de Guayas resolvio el 15 de marzo de 2021 declarar con lugar la demanda y ordenar la restitucion al cargo, al verificarse vicios de procedimiento en el sumario administrativo. Derechos invocados: debido proceso, derecho al trabajo, seguridad juridica.",
17811-2020-00089,Contencioso Administrativo,22/08/2022,Dra. Patricia Villacis Torres,,,,,,,,,,,,"Accion contencioso administrativa presentada por CONSTRUVIAL S.A. contra el Gobierno Provincial del Guayas. Impugna la terminacion unilateral del contrato de obra publica No. 045-2019. Demanda presentada el 3 de febrero de 2020. Etapa probatoria del 12 de mayo al 10 de agosto de 2020, duracion de 90 dias. Sentencia del Tribunal Distrital de Guayas del 22 de agosto de 2022: se rechaza la demanda por no acreditarse los perjuicios. Derechos invocados: libertad de contratacion, seguridad juridica, debido proceso.",
17811-2018-00412,Contencioso Administrativo,07/11/2022,Dr. Roberto Espinoza Lara,,,,,,,,,,,,"Demanda contencioso administrativa de Juan Perez Neira contra la Prefectura del Guayas. Impugna negativa de reconocimiento de tiempo de servicios para jubilacion. Presentada el 18 de julio de 2018. Etapa de prueba del 3 de octubre al 31 de diciembre de 2018, durando 89 dias. Tribunal resolvio el 7 de noviembre de 2022 declarar con lugar, reconociendo los anos de servicio y ordenando reliquidacion de pension. Derechos invocados: seguridad social, debido proceso, igualdad.",
17811-2021-00156,Contencioso Administrativo,14/04/2023,Dra. Patricia Villacis Torres,,,,,,,,,,,,"Proceso contencioso administrativo de Andrea Suarez contra la Contraloria General del Estado zona Guayas. Impugna glosa por perjuicio al Estado en obra de alcantarillado. Demanda del 22 de marzo de 2021. Etapa de prueba del 10 de junio al 7 de septiembre de 2021, duracion de 89 dias. Sentencia del 14 de abril de 2023: se acepta parcialmente, dejando sin efecto la glosa personal. Derechos invocados: debido proceso, seguridad juridica, derecho a la defensa.",
17811-2019-00578,Contencioso Administrativo,30/06/2023,Dr. Carlos Andrade Mora,,,,,,,,,,,,"Demanda contencioso administrativa de Luis Mendez Gallardo contra el Ministerio de Salud Publica Coordinacion Zonal 8. Impugna destitucion de cargo de medico rural. Presentada el 15 de agosto de 2019. Etapa probatoria del 2 de noviembre de 2019 al 30 de enero de 2020, duracion de 89 dias. Tribunal resolvio el 30 de junio de 2023 declarar sin lugar la demanda. Derechos invocados: debido proceso, derecho al trabajo, estabilidad laboral.",
17811-2020-00334,Contencioso Administrativo,19/09/2022,Dr. Roberto Espinoza Lara,,,,,,,,,,,,"Accion contencioso administrativa de IMPORTEC S.A. contra la Aduana del Ecuador Distrito Guayaquil. Impugna resolucion de aforo con tributos adicionales por importacion de maquinaria. Demanda del 11 de mayo de 2020. Etapa de prueba del 3 de agosto al 31 de octubre de 2020, duracion de 89 dias. Sentencia del 19 de septiembre de 2022: se rechaza la demanda. Derechos invocados: seguridad juridica, debido proceso, libre empresa.",
17811-2017-00891,Contencioso Administrativo,28/02/2023,Dra. Carmen Holguin Vera,,,,,,,,,,,,"Proceso contencioso administrativo de Rosa Villafuerte contra el Consejo de la Judicatura Guayas. Impugna no renovacion de contrato de servicios ocasionales. Presentada el 4 de marzo de 2017. Etapa de prueba del 18 de mayo al 15 de agosto de 2017, duracion de 89 dias. Tribunal resolvio el 28 de febrero de 2023 declarar con lugar por vulneracion al principio de confianza legitima. Derechos invocados: estabilidad laboral, confianza legitima, igualdad, debido proceso.",
17811-2022-00045,Contencioso Administrativo,11/01/2024,Dra. Carmen Holguin Vera,,,,,,,,,,,,"Demanda contencioso administrativa de Pedro Aguirre Mora contra el SRI Regional Litoral. Impugna acto determinativo de obligacion tributaria. Presentada el 28 de enero de 2022. Etapa probatoria del 15 de abril al 13 de julio de 2022, duracion de 89 dias. Sentencia del 11 de enero de 2024: se acepta la demanda, dejando sin efecto el acto por vicios en la notificacion. Derechos invocados: debido proceso, seguridad juridica, derecho a la defensa.",
17811-2018-00667,Contencioso Administrativo,05/07/2021,Dr. Carlos Andrade Mora,,,,,,,,,,,,"Accion contencioso administrativa de Transportes Ecuatorianos Cia. Ltda. contra la Agencia Nacional de Transito regional Guayas. Impugna negativa de renovacion de cupos de transporte interprovincial. Presentada el 20 de septiembre de 2018. Etapa de prueba del 5 de diciembre de 2018 al 4 de marzo de 2019, duracion de 90 dias. Tribunal resolvio el 5 de julio de 2021 rechazar la demanda. Derechos invocados: libre empresa, seguridad juridica, debido proceso.",
17811-2021-00423,Contencioso Administrativo,03/03/2024,Dra. Patricia Villacis Torres,,,,,,,,,,,,"Proceso contencioso administrativo de Gabriela Torres Rios contra la Secretaria del Agua Demarcacion Hidrografica Guayas. Impugna revocacion de concesion de agua para uso agricola. Presentada el 7 de julio de 2021. Etapa probatoria del 20 de septiembre al 18 de diciembre de 2021, duracion de 89 dias. Sentencia del 3 de marzo de 2024: se declara con lugar por vicio de motivacion en el acto impugnado. Derechos invocados: derecho al agua, seguridad juridica, debido proceso.",
